timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
2902207943,-0.01971801,-0.10874172,0.8133333,4497,0,-0.05359738,1.3696772,-10.487782,5039,0
2902213939,0.016805343,-0.10276756,0.8126586,5996,0,1.3435147,-1.3839463,-8.195223,5006,0
2902218436,-0.118842736,-0.091297485,0.8455827,4497,0,-0.7460725,-0.31037134,-9.24261,4914,0
2902228928,-0.09144966,-0.10981193,0.8514785,5996,0,0.17067546,-1.5612112,-10.517972,4996,0
2902233425,-0.09351124,-0.03715041,0.859268,4497,0,1.9567933,0.8818374,-9.857751,5001,0
2902243917,-0.111803934,-0.10341573,0.8189483,5995,0,-0.4172268,-1.739842,-9.717754,4999,0
2902248414,-0.027310336,-0.19374104,0.8473669,4497,0,2.6034951,3.1482303,-7.476821,4999,0
2902252913,-0.11441824,-0.033882618,0.87078416,4499,0,-0.88109607,-0.5522898,-10.43933,5006,0
2902258906,-0.12998916,-0.046624184,0.8798881,5993,0,0.6340295,1.2150048,-11.231514,4996,0
2902263407,0.028507138,-0.06837335,0.8118066,4501,0,-0.46646887,-1.244619,-11.147267,4999,0
2902267900,-0.13525538,-0.0952335,0.8011405,4493,0,-1.0045651,-2.5059557,-9.424767,4999,0
2902273895,0.007841391,-0.082459584,0.847596,5995,0,1.7928294,3.962832,-9.343705,5002,0
2902278392,-0.1600088,-0.097468786,0.89233005,4497,0,-0.36938903,-1.3700165,-8.053233,4999,0
2902288885,0.05921495,-0.08219454,0.7994284,5996,0,1.3875902,-1.0094297,-11.13633,5000,0
2902293381,-0.1229369,-0.04591774,0.798518,4496,0,-1.998103,-3.3189766,-8.824874,5002,0
2902302375,0.0033542218,-0.09552915,0.83748376,8994,0,0.84287876,2.0913975,-10.112418,9373,0
2902306922,-0.19298944,-0.016619548,0.85242724,4547,0,-1.575727,1.4013274,-9.530814,4998,0
2902317364,-0.036819097,-0.07759072,0.7125672,5996,0,0.25642467,-3.495824,-9.271416,5001,0
2902321908,0.03815654,0.040935144,0.7734773,4544,0,-0.36803883,4.073472,-10.5682335,5038,0
2902326357,-0.026445502,-0.15237525,0.77499413,4449,0,-1.101037,0.89825004,-10.309585,5045,0
2902332353,-0.1419698,-0.062048167,0.7871733,5996,0,-0.8345545,0.7238542,-9.169545,4916,0
2902336897,0.0662408,0.018821482,0.70581466,4544,0,2.5463088,-2.3466618,-8.891472,4999,0
2902348841,0.037726294,-0.01300333,0.6810054,7494,0,0.050572626,2.840589,-8.821479,6250,0
2902353338,-0.10780659,-0.08963543,0.6769495,4497,0,-1.0082428,0.43746445,-10.373806,5120,0
